id,subjectKey,type,fr_question,en_question,nl_question,de_question,image
c001_what,food_casu_marzu,what,Que sont les Casu Marzu ?,What are Casu Marzu?,Wat zijn Casu Marzu?,Was sind Casu Marzu?,casu-marzu.jpg
c001_country,food_casu_marzu,country,Dans quel pays ou région déguste-t-on traditionnellement les Casu Marzu ?,In which country or region are Casu Marzu traditionally eaten?,In welk land of welke regio worden Casu Marzu traditioneel gegeten?,In welchem Land oder welcher Region werden Casu Marzu traditionell gegessen?,casu-marzu.jpg
c001_ingredient,food_casu_marzu,ingredient,Quel ingrédient ou élément rend les Casu Marzu particulièrement reconnaissables ?,Which ingredient or element makes Casu Marzu especially recognisable?,Welk ingrediënt of element maakt Casu Marzu bijzonder herkenbaar?,Welche Zutat oder welches Element macht Casu Marzu besonders erkennbar?,casu-marzu.jpg
c001_known,food_casu_marzu,knownfor,Pourquoi les Casu Marzu sont-ils particulièrement connus ?,Why are Casu Marzu especially known?,Waarom zijn Casu Marzu bijzonder bekend?,Wofür sind Casu Marzu besonders bekannt?,casu-marzu.jpg
c001_riddle,food_casu_marzu,riddle,"Devinette : je suis lié à Sardaigne, je surprends par sa texture très souple et sa réputation controversée. Qui suis-je ?","Riddle: I am linked to Sardinia, and I surprise people with its very soft texture and controversial reputation. What am I?",Raadsel: ik ben verbonden met Sardinië en verras door zijn zeer zachte textuur en controversiële reputatie. Wat ben ik?,Rätsel: Ich bin mit Sardinien verbunden und überrasche durch seine sehr weiche Textur und seinen kontroversen Ruf. Was bin ich?,casu-marzu.jpg
c001_image,food_casu_marzu,image,Quelle spécialité est représentée sur cette photo ?,Which speciality is shown in this photo?,Welke specialiteit staat op deze foto?,Welche Spezialität ist auf diesem Foto zu sehen?,casu-marzu.jpg
c001_tf,food_casu_marzu,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?,casu-marzu.jpg
c002_what,food_haggis,what,Que sont les Haggis ?,What are Haggis?,Wat zijn Haggis?,Was sind Haggis?,haggis.jpg
c002_country,food_haggis,country,Dans quel pays ou région déguste-t-on traditionnellement les Haggis ?,In which country or region are Haggis traditionally eaten?,In welk land of welke regio worden Haggis traditioneel gegeten?,In welchem Land oder welcher Region werden Haggis traditionell gegessen?,haggis.jpg
c002_ingredient,food_haggis,ingredient,Quel ingrédient ou élément rend les Haggis particulièrement reconnaissables ?,Which ingredient or element makes Haggis especially recognisable?,Welk ingrediënt of element maakt Haggis bijzonder herkenbaar?,Welche Zutat oder welches Element macht Haggis besonders erkennbar?,haggis.jpg
c002_known,food_haggis,knownfor,Pourquoi les Haggis sont-ils particulièrement connus ?,Why are Haggis especially known?,Waarom zijn Haggis bijzonder bekend?,Wofür sind Haggis besonders bekannt?,haggis.jpg
c002_riddle,food_haggis,riddle,"Devinette : je suis lié à Écosse, je surprends par son lien avec les soupers de Burns. Qui suis-je ?","Riddle: I am linked to Scotland, and I surprise people with its link with Burns suppers. What am I?",Raadsel: ik ben verbonden met Schotland en verras door zijn link met Burns suppers. Wat ben ik?,Rätsel: Ich bin mit Schottland verbunden und überrasche durch seine Verbindung zu Burns Suppers. Was bin ich?,haggis.jpg
c002_image,food_haggis,image,Quelle spécialité est représentée sur cette photo ?,Which speciality is shown in this photo?,Welke specialiteit staat op deze foto?,Welche Spezialität ist auf diesem Foto zu sehen?,haggis.jpg
c002_tf,food_haggis,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?,haggis.jpg
c003_what,food_surstromming,what,Que sont les Surströmming ?,What are Surströmming?,Wat zijn Surströmming?,Was sind Surströmming?,surstromming.jpg
c003_country,food_surstromming,country,Dans quel pays ou région déguste-t-on traditionnellement les Surströmming ?,In which country or region are Surströmming traditionally eaten?,In welk land of welke regio worden Surströmming traditioneel gegeten?,In welchem Land oder welcher Region werden Surströmming traditionell gegessen?,surstromming.jpg
c003_ingredient,food_surstromming,ingredient,Quel ingrédient ou élément rend les Surströmming particulièrement reconnaissables ?,Which ingredient or element makes Surströmming especially recognisable?,Welk ingrediënt of element maakt Surströmming bijzonder herkenbaar?,Welche Zutat oder welches Element macht Surströmming besonders erkennbar?,surstromming.jpg
c003_known,food_surstromming,knownfor,Pourquoi les Surströmming sont-ils particulièrement connus ?,Why are Surströmming especially known?,Waarom zijn Surströmming bijzonder bekend?,Wofür sind Surströmming besonders bekannt?,surstromming.jpg
c003_riddle,food_surstromming,riddle,"Devinette : je suis lié à Nord de la Suède, je surprends par son odeur extrêmement forte. Qui suis-je ?","Riddle: I am linked to Northern Sweden, and I surprise people with its extremely strong smell. What am I?",Raadsel: ik ben verbonden met Noord-Zweden en verras door zijn extreem sterke geur. Wat ben ik?,Rätsel: Ich bin mit Nordschweden verbunden und überrasche durch seinen extrem starken Geruch. Was bin ich?,surstromming.jpg
c003_image,food_surstromming,image,Quelle spécialité est représentée sur cette photo ?,Which speciality is shown in this photo?,Welke specialiteit staat op deze foto?,Welche Spezialität ist auf diesem Foto zu sehen?,surstromming.jpg
c003_tf,food_surstromming,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?,surstromming.jpg
c004_what,food_hakarl,what,Que sont les Hákarl ?,What are Hákarl?,Wat zijn Hákarl?,Was sind Hákarl?,hakarl.jpg
c004_country,food_hakarl,country,Dans quel pays ou région déguste-t-on traditionnellement les Hákarl ?,In which country or region are Hákarl traditionally eaten?,In welk land of welke regio worden Hákarl traditioneel gegeten?,In welchem Land oder welcher Region werden Hákarl traditionell gegessen?,hakarl.jpg
c004_ingredient,food_hakarl,ingredient,Quel ingrédient ou élément rend les Hákarl particulièrement reconnaissables ?,Which ingredient or element makes Hákarl especially recognisable?,Welk ingrediënt of element maakt Hákarl bijzonder herkenbaar?,Welche Zutat oder welches Element macht Hákarl besonders erkennbar?,hakarl.jpg
c004_known,food_hakarl,knownfor,Pourquoi les Hákarl sont-ils particulièrement connus ?,Why are Hákarl especially known?,Waarom zijn Hákarl bijzonder bekend?,Wofür sind Hákarl besonders bekannt?,hakarl.jpg
c004_riddle,food_hakarl,riddle,"Devinette : je suis lié à Islande, je surprends par son goût puissant et sa préparation longue. Qui suis-je ?","Riddle: I am linked to Iceland, and I surprise people with its powerful taste and long preparation. What am I?",Raadsel: ik ben verbonden met IJsland en verras door zijn krachtige smaak en lange bereiding. Wat ben ik?,Rätsel: Ich bin mit Island verbunden und überrasche durch seinen kräftigen Geschmack und die lange Zubereitung. Was bin ich?,hakarl.jpg
c004_image,food_hakarl,image,Quelle spécialité est représentée sur cette photo ?,Which speciality is shown in this photo?,Welke specialiteit staat op deze foto?,Welche Spezialität ist auf diesem Foto zu sehen?,hakarl.jpg
c004_tf,food_hakarl,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?,hakarl.jpg
c005_what,food_smalahove,what,Que sont les Smalahove ?,What are Smalahove?,Wat zijn Smalahove?,Was sind Smalahove?,smalahove.jpg
c005_country,food_smalahove,country,Dans quel pays ou région déguste-t-on traditionnellement les Smalahove ?,In which country or region are Smalahove traditionally eaten?,In welk land of welke regio worden Smalahove traditioneel gegeten?,In welchem Land oder welcher Region werden Smalahove traditionell gegessen?,smalahove.jpg
c005_ingredient,food_smalahove,ingredient,Quel ingrédient ou élément rend les Smalahove particulièrement reconnaissables ?,Which ingredient or element makes Smalahove especially recognisable?,Welk ingrediënt of element maakt Smalahove bijzonder herkenbaar?,Welche Zutat oder welches Element macht Smalahove besonders erkennbar?,smalahove.jpg
c005_known,food_smalahove,knownfor,Pourquoi les Smalahove sont-ils particulièrement connus ?,Why are Smalahove especially known?,Waarom zijn Smalahove bijzonder bekend?,Wofür sind Smalahove besonders bekannt?,smalahove.jpg
c005_riddle,food_smalahove,riddle,"Devinette : je suis lié à Ouest de la Norvège, je surprends par sa présentation entière ou presque entière. Qui suis-je ?","Riddle: I am linked to Western Norway, and I surprise people with being served whole or almost whole. What am I?",Raadsel: ik ben verbonden met West-Noorwegen en verras door zijn hele of bijna hele presentatie. Wat ben ik?,Rätsel: Ich bin mit Westnorwegen verbunden und überrasche durch seine ganze oder fast ganze Präsentation. Was bin ich?,smalahove.jpg
c005_image,food_smalahove,image,Quelle spécialité est représentée sur cette photo ?,Which speciality is shown in this photo?,Welke specialiteit staat op deze foto?,Welche Spezialität ist auf diesem Foto zu sehen?,smalahove.jpg
c005_tf,food_smalahove,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?,smalahove.jpg
c006_what,food_blodplattar,what,Que sont les Blodplättar ?,What are Blodplättar?,Wat zijn Blodplättar?,Was sind Blodplättar?,blodplattar.jpg
c006_country,food_blodplattar,country,Dans quel pays ou région déguste-t-on traditionnellement les Blodplättar ?,In which country or region are Blodplättar traditionally eaten?,In welk land of welke regio worden Blodplättar traditioneel gegeten?,In welchem Land oder welcher Region werden Blodplättar traditionell gegessen?,blodplattar.jpg
c006_ingredient,food_blodplattar,ingredient,Quel ingrédient ou élément rend les Blodplättar particulièrement reconnaissables ?,Which ingredient or element makes Blodplättar especially recognisable?,Welk ingrediënt of element maakt Blodplättar bijzonder herkenbaar?,Welche Zutat oder welches Element macht Blodplättar besonders erkennbar?,blodplattar.jpg
c006_known,food_blodplattar,knownfor,Pourquoi les Blodplättar sont-ils particulièrement connus ?,Why are Blodplättar especially known?,Waarom zijn Blodplättar bijzonder bekend?,Wofür sind Blodplättar besonders bekannt?,blodplattar.jpg
c006_riddle,food_blodplattar,riddle,"Devinette : je suis lié à Pays nordiques, je surprends par sa couleur sombre et son ingrédient inattendu. Qui suis-je ?","Riddle: I am linked to Nordic countries, and I surprise people with its dark colour and unexpected ingredient. What am I?",Raadsel: ik ben verbonden met Noordse landen en verras door zijn donkere kleur en onverwachte ingrediënt. Wat ben ik?,Rätsel: Ich bin mit Nordische Länder verbunden und überrasche durch seine dunkle Farbe und unerwartete Zutat. Was bin ich?,blodplattar.jpg
c006_image,food_blodplattar,image,Quelle spécialité est représentée sur cette photo ?,Which speciality is shown in this photo?,Welke specialiteit staat op deze foto?,Welche Spezialität ist auf diesem Foto zu sehen?,blodplattar.jpg
c006_tf,food_blodplattar,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?,blodplattar.jpg
c007_what,food_andouillette,what,Que sont les Andouillette ?,What are Andouillette?,Wat zijn Andouillette?,Was sind Andouillette?,andouillette.jpg
c007_country,food_andouillette,country,Dans quel pays ou région déguste-t-on traditionnellement les Andouillette ?,In which country or region are Andouillette traditionally eaten?,In welk land of welke regio worden Andouillette traditioneel gegeten?,In welchem Land oder welcher Region werden Andouillette traditionell gegessen?,andouillette.jpg
c007_ingredient,food_andouillette,ingredient,Quel ingrédient ou élément rend les Andouillette particulièrement reconnaissables ?,Which ingredient or element makes Andouillette especially recognisable?,Welk ingrediënt of element maakt Andouillette bijzonder herkenbaar?,Welche Zutat oder welches Element macht Andouillette besonders erkennbar?,andouillette.jpg
c007_known,food_andouillette,knownfor,Pourquoi les Andouillette sont-ils particulièrement connus ?,Why are Andouillette especially known?,Waarom zijn Andouillette bijzonder bekend?,Wofür sind Andouillette besonders bekannt?,andouillette.jpg
c007_riddle,food_andouillette,riddle,"Devinette : je suis lié à France, je surprends par son parfum très reconnaissable. Qui suis-je ?","Riddle: I am linked to France, and I surprise people with its very recognisable aroma. What am I?",Raadsel: ik ben verbonden met Frankrijk en verras door zijn zeer herkenbare geur. Wat ben ik?,Rätsel: Ich bin mit Frankreich verbunden und überrasche durch ihren sehr erkennbaren Geruch. Was bin ich?,andouillette.jpg
c007_image,food_andouillette,image,Quelle spécialité est représentée sur cette photo ?,Which speciality is shown in this photo?,Welke specialiteit staat op deze foto?,Welche Spezialität ist auf diesem Foto zu sehen?,andouillette.jpg
c007_tf,food_andouillette,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?,andouillette.jpg
c008_what,food_mammi,what,Que sont les Mämmi ?,What are Mämmi?,Wat zijn Mämmi?,Was sind Mämmi?,mammi.jpg
c008_country,food_mammi,country,Dans quel pays ou région déguste-t-on traditionnellement les Mämmi ?,In which country or region are Mämmi traditionally eaten?,In welk land of welke regio worden Mämmi traditioneel gegeten?,In welchem Land oder welcher Region werden Mämmi traditionell gegessen?,mammi.jpg
