id,subjectKey,type,fr_question,en_question,nl_question,de_question
l001_country,legend_001,country,Dans quel pays cette légende est-elle surtout connue : Krampus ?,In which country is this legend mainly known: Krampus?,In welk land is deze legende vooral bekend: Krampus?,In welchem Land ist diese Legende vor allem bekannt: Krampus?
l001_what,legend_001,what,Que sont / qu’est-ce que Krampus dans le folklore européen ?,What are / what is Krampus in European folklore?,Wat zijn / wat is Krampus in de Europese folklore?,Was ist / was sind Krampus in der europäischen Folklore?
l001_tf,legend_001,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l002_country,legend_002,country,Dans quel pays cette légende est-elle surtout connue : Perchta ?,In which country is this legend mainly known: Perchta?,In welk land is deze legende vooral bekend: Perchta?,In welchem Land ist diese Legende vor allem bekannt: Perchta?
l002_what,legend_002,what,Que sont / qu’est-ce que Perchta dans le folklore européen ?,What are / what is Perchta in European folklore?,Wat zijn / wat is Perchta in de Europese folklore?,Was ist / was sind Perchta in der europäischen Folklore?
l002_tf,legend_002,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l003_country,legend_003,country,"Dans quel pays cette légende est-elle surtout connue : Bayard, le cheval magique ?","In which country is this legend mainly known: Bayard, the magical horse?","In welk land is deze legende vooral bekend: Bayard, het magische paard?","In welchem Land ist diese Legende vor allem bekannt: Bayard, das magische Pferd?"
l003_what,legend_003,what,"Que sont / qu’est-ce que Bayard, le cheval magique dans le folklore européen ?","What are / what is Bayard, the magical horse in European folklore?","Wat zijn / wat is Bayard, het magische paard in de Europese folklore?","Was ist / was sind Bayard, das magische Pferd in der europäischen Folklore?"
l003_tf,legend_003,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l004_country,legend_004,country,Dans quel pays cette légende est-elle surtout connue : Les Nutons ?,In which country is this legend mainly known: The Nutons?,In welk land is deze legende vooral bekend: De Nutons?,In welchem Land ist diese Legende vor allem bekannt: Die Nutons?
l004_what,legend_004,what,Que sont / qu’est-ce que Les Nutons dans le folklore européen ?,What are / what is The Nutons in European folklore?,Wat zijn / wat is De Nutons in de Europese folklore?,Was ist / was sind Die Nutons in der europäischen Folklore?
l004_tf,legend_004,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l005_country,legend_005,country,Dans quel pays cette légende est-elle surtout connue : Samodiva ?,In which country is this legend mainly known: Samodiva?,In welk land is deze legende vooral bekend: Samodiva?,In welchem Land ist diese Legende vor allem bekannt: Samodiva?
l005_what,legend_005,what,Que sont / qu’est-ce que Samodiva dans le folklore européen ?,What are / what is Samodiva in European folklore?,Wat zijn / wat is Samodiva in de Europese folklore?,Was ist / was sind Samodiva in der europäischen Folklore?
l005_tf,legend_005,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
