id,subjectKey,type,fr_question,fr_correct
l001_what,legend_nutons,what,Que sont / qu’est-ce que Les Nutons ?,De petits êtres souterrains du folklore wallon
l001_country,legend_nutons,country,Dans quel pays ou région cette légende est-elle surtout connue ?,Belgique
l001_detail,legend_nutons,detail,Quel détail est associé à Les Nutons ?,"Ils sont souvent associés aux grottes, aux ateliers nocturnes et aux objets réparés en secret."
l001_riddle,legend_nutons,riddle,"Devinette : je viens de Wallonie et je suis lié à ce détail : Ils sont souvent associés aux grottes, aux ateliers nocturnes et aux objets réparés en secret.. Qui suis-je ?",Les Nutons
l001_tf,legend_nutons,truefalse,Cette affirmation est-elle correcte ?,Vrai
l002_what,legend_krampus,what,Que sont / qu’est-ce que Krampus ?,Une créature cornue associée à Saint Nicolas
l002_country,legend_krampus,country,Dans quel pays ou région cette légende est-elle surtout connue ?,Autriche
l002_detail,legend_krampus,detail,Quel détail est associé à Krampus ?,"Il apparaît avec fourrure, cornes et chaînes dans des défilés hivernaux."
l002_riddle,legend_krampus,riddle,"Devinette : je viens de Régions alpines et je suis lié à ce détail : Il apparaît avec fourrure, cornes et chaînes dans des défilés hivernaux.. Qui suis-je ?",Krampus
l002_tf,legend_krampus,truefalse,Cette affirmation est-elle correcte ?,Vrai
l003_what,legend_golem_prague,what,Que sont / qu’est-ce que Le Golem de Prague ?,Un géant d’argile protecteur
l003_country,legend_golem_prague,country,Dans quel pays ou région cette légende est-elle surtout connue ?,Tchéquie
l003_detail,legend_golem_prague,detail,Quel détail est associé à Le Golem de Prague ?,Il aurait été créé pour protéger la communauté juive de Prague.
l003_riddle,legend_golem_prague,riddle,Devinette : je viens de Prague et je suis lié à ce détail : Il aurait été créé pour protéger la communauté juive de Prague.. Qui suis-je ?,Le Golem de Prague
l003_tf,legend_golem_prague,truefalse,Cette affirmation est-elle correcte ?,Vrai
l004_what,legend_banshee,what,Que sont / qu’est-ce que Banshee ?,Un être surnaturel annonçant une mort
l004_country,legend_banshee,country,Dans quel pays ou région cette légende est-elle surtout connue ?,Irlande
l004_detail,legend_banshee,detail,Quel détail est associé à Banshee ?,Ses cris nocturnes annonceraient un décès dans une famille.
l004_riddle,legend_banshee,riddle,Devinette : je viens de Folklore irlandais et je suis lié à ce détail : Ses cris nocturnes annonceraient un décès dans une famille.. Qui suis-je ?,Banshee
l004_tf,legend_banshee,truefalse,Cette affirmation est-elle correcte ?,Vrai
l005_what,legend_lorelei,what,Que sont / qu’est-ce que Lorelei ?,Une figure féminine associée au Rhin et au chant
l005_country,legend_lorelei,country,Dans quel pays ou région cette légende est-elle surtout connue ?,Allemagne
l005_detail,legend_lorelei,detail,Quel détail est associé à Lorelei ?,Son chant aurait attiré les marins vers les rochers dangereux du Rhin.
l005_riddle,legend_lorelei,riddle,Devinette : je viens de Rhin et je suis lié à ce détail : Son chant aurait attiré les marins vers les rochers dangereux du Rhin.. Qui suis-je ?,Lorelei
l005_tf,legend_lorelei,truefalse,Cette affirmation est-elle correcte ?,Vrai
l006_what,legend_befana,what,Que sont / qu’est-ce que La Befana ?,Une vieille femme volante qui apporte des cadeaux
l006_country,legend_befana,country,Dans quel pays ou région cette légende est-elle surtout connue ?,Italie
l006_detail,legend_befana,detail,Quel détail est associé à La Befana ?,Elle visite les enfants dans la nuit du 5 au 6 janvier.
l006_riddle,legend_befana,riddle,Devinette : je viens de Tradition de l’Épiphanie et je suis lié à ce détail : Elle visite les enfants dans la nuit du 5 au 6 janvier.. Qui suis-je ?,La Befana
l006_tf,legend_befana,truefalse,Cette affirmation est-elle correcte ?,Vrai
l007_what,legend_melusine,what,Que sont / qu’est-ce que Mélusine ?,Une femme-serpent ou femme-dragon
l007_country,legend_melusine,country,Dans quel pays ou région cette légende est-elle surtout connue ?,France / Luxembourg
l007_detail,legend_melusine,detail,Quel détail est associé à Mélusine ?,"Elle possède une apparence double, humaine et merveilleuse."
l007_riddle,legend_melusine,riddle,"Devinette : je viens de Récits médiévaux et je suis lié à ce détail : Elle possède une apparence double, humaine et merveilleuse.. Qui suis-je ?",Mélusine
l007_tf,legend_melusine,truefalse,Cette affirmation est-elle correcte ?,Vrai
l008_what,legend_wawel_dragon,what,Que sont / qu’est-ce que Le dragon du Wawel ?,Un dragon vaincu par la ruse
l008_country,legend_wawel_dragon,country,Dans quel pays ou région cette légende est-elle surtout connue ?,Pologne
l008_detail,legend_wawel_dragon,detail,Quel détail est associé à Le dragon du Wawel ?,Le récit est lié à la colline du Wawel à Cracovie.
l008_riddle,legend_wawel_dragon,riddle,Devinette : je viens de Cracovie et je suis lié à ce détail : Le récit est lié à la colline du Wawel à Cracovie.. Qui suis-je ?,Le dragon du Wawel
l008_tf,legend_wawel_dragon,truefalse,Cette affirmation est-elle correcte ?,Vrai
l009_what,legend_zlatorog,what,Que sont / qu’est-ce que Zlatorog ?,Un bouquetin mythique aux cornes d’or
l009_country,legend_zlatorog,country,Dans quel pays ou région cette légende est-elle surtout connue ?,Slovénie
l009_detail,legend_zlatorog,detail,Quel détail est associé à Zlatorog ?,Il garde un trésor caché dans la montagne.
l009_riddle,legend_zlatorog,riddle,Devinette : je viens de Alpes juliennes et je suis lié à ce détail : Il garde un trésor caché dans la montagne.. Qui suis-je ?,Zlatorog
l009_tf,legend_zlatorog,truefalse,Cette affirmation est-elle correcte ?,Vrai
l010_what,legend_nacken,what,Que sont / qu’est-ce que Näcken ?,Un esprit des eaux musicien
l010_country,legend_nacken,country,Dans quel pays ou région cette légende est-elle surtout connue ?,Suède
l010_detail,legend_nacken,detail,Quel détail est associé à Näcken ?,Il attire les voyageurs avec son violon.
l010_riddle,legend_nacken,riddle,Devinette : je viens de Rivières et lacs et je suis lié à ce détail : Il attire les voyageurs avec son violon.. Qui suis-je ?,Näcken
